schedule	version_from	version_to	URL_en
6	20080702	20081015	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20080702.html#wb-cont
6	20081016	20090301	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20081016.html#wb-cont
6	20090302	20090630	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20090302.html#wb-cont
6	20090701	20090812	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20090701.html#wb-cont
6	20090813	20090817	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20090813.html#wb-cont
6	20090818	20090922	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20090818.html#wb-cont
6	20090923	20100826	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20090923.html#wb-cont
6	20100827	20110803	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20100827.html#wb-cont
6	20110804	20111115	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20110804.html#wb-cont
6	20111116	20120628	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20111116.html#wb-cont
6	20120629	20120705	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20120629.html#wb-cont
6	20120706	20120929	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20120706.html#wb-cont
6	20120930	20130227	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20120930.html#wb-cont
6	20130228	20130228	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20130228.html#wb-cont
6	20130301	20130331	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20130301.html#wb-cont
6	20130401	20130618	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20130401.html#wb-cont
6	20130619	20130625	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20130619.html#wb-cont
6	20130626	20131211	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20130626.html#wb-cont
6	20131212	20141031	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20131212.html#wb-cont
6	20141101	20141127	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20141101.html#wb-cont
6	20141128	20150204	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20141128.html#wb-cont
6	20150205	20150531	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20150205.html#wb-cont
6	20150601	20161231	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20150601.html#wb-cont
6	20160101	20171005	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20160101.html#wb-cont
6	20171006	20171129	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20171006.html#wb-cont
6	20171130	20181212	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20171130.html#wb-cont
6	20181213	20190710	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20181213.html#wb-cont
6	20190711	20190711	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20190711.html#wb-cont
6	20190712	20190714	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20190712.html#wb-cont
6	20190715	20190827	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20190715.html#wb-cont
6	20190828	20200116	https://laws-lois.justice.gc.ca/eng/acts/F-11/section-sched230671-20190828.html#wb-cont
6	20200117			https://laws-lois.justice.gc.ca/eng/acts/F-11/page-36.html#h-230672
